Time,Wind Direction
0 sec,6.20857350740352
20 sec,-5.49198594540813
40 sec,-2.22544518226133
60 sec,-0.637310697762762
80 sec,-1.27283500384396
100 sec,-0.143198941276548
120 sec,-4.04718743576462
140 sec,-0.942993483018617
160 sec,-1.74622001962997
180 sec,1.05937377657933
200 sec,2.65770380349524
220 sec,-1.92103444913256
240 sec,1.64670488804151
260 sec,-2.22032073826613
280 sec,0.277778023007721
300 sec,4.53339194947282
320 sec,2.45509380087858
340 sec,-0.0311272294384501
360 sec,0.731152381859227
380 sec,-2.8974558453601
400 sec,-3.47992092985482
420 sec,4.20871719120905
440 sec,0.727482458908841
460 sec,-0.930538678908642
480 sec,-0.989285412526254
500 sec,2.73717694534577
520 sec,-0.0346439952085482
540 sec,-0.123981889977616
560 sec,0.86579136713561
580 sec,8.20182969274399
600 sec,-0.860205352410248
620 sec,3.82241985302877
640 sec,-6.53111794808538
660 sec,-1.12336209938045
680 sec,1.05606517884784
700 sec,2.46683085331048
720 sec,-0.177089772700882
740 sec,-0.963099030455457
760 sec,2.21552154906469
780 sec,-0.219669036335005
800 sec,1.15359951063098
820 sec,1.60959162564062
840 sec,3.62340945933856
860 sec,0.83292171817382
880 sec,-0.112059719975595
900 sec,3.19363454792986
920 sec,-2.2114037260965
940 sec,-0.178156233961245
960 sec,4.09438768712924
980 sec,2.11606763483727
1000 sec,1.96355427287648
1020 sec,-0.877097526780615
1040 sec,-6.70975166480452
1060 sec,-3.76762662953165
1080 sec,2.93858992562432
1100 sec,-2.32121107194991
1120 sec,-0.792204193120544
1140 sec,-0.482765141931132
1160 sec,3.16090827192221
1180 sec,2.37478648791742
1200 sec,-1.53260543840475
1220 sec,-3.02768948247776
1240 sec,-3.56310154119995
1260 sec,-0.729555561835165
1280 sec,-3.9475507300113
1300 sec,-2.31348671309086
1320 sec,-4.63497861216512
1340 sec,-2.22874646049229
1360 sec,-1.64085825078375
1380 sec,5.07210128005083
1400 sec,-1.39683078046039
1420 sec,3.82073668118398
1440 sec,8.27665388387362
