Time,Wind Speed
0 sec,22.5031134968155
20 sec,25.4413269317276
40 sec,23.6018621241889
60 sec,24.7449448201192
80 sec,25.1644040733187
100 sec,25.7477340288081
120 sec,24.7269530505971
140 sec,26.5763001465461
160 sec,24.5190628482212
180 sec,25.3275121208297
200 sec,25.6647341206276
220 sec,25.0851885927212
240 sec,25.880952785381
260 sec,25.3232131378476
280 sec,24.2158538163359
300 sec,23.1946266486139
320 sec,26.8585929485557
340 sec,24.3954699112255
360 sec,25.1033597223106
380 sec,25.563166955146
400 sec,25.113596996734
420 sec,24.095273787202
440 sec,24.5322854175481
460 sec,24.8751100527769
480 sec,26.478958491504
500 sec,24.139184309993
520 sec,25.7846684672878
540 sec,25.3086231399485
560 sec,24.7661399578708
580 sec,23.9430272540399
600 sec,24.7158590453738
620 sec,24.9133097175407
640 sec,23.5306049255136
660 sec,25.1921822448708
680 sec,24.1777067237098
700 sec,24.9057594120403
720 sec,25.3362133409542
740 sec,24.0953459407532
760 sec,24.7117436387943
780 sec,25.3500627575342
800 sec,23.1641408574957
820 sec,26.0359759082455
840 sec,27.4244611449394
860 sec,25.959400509408
880 sec,24.6842280049906
900 sec,25.4286226798594
920 sec,23.9640152214866
940 sec,26.8778654604959
960 sec,25.9407044033521
980 sec,25.7873457799352
1000 sec,24.1241257380433
1020 sec,25.3199491343823
1040 sec,24.4417057151491
1060 sec,24.6885705814531
1080 sec,24.4299900833578
1100 sec,23.9742663843713
1120 sec,24.0912544131257
1140 sec,24.7901026659444
1160 sec,23.3011359158274
1180 sec,25.6076005758461
1200 sec,24.882201710732
1220 sec,25.6991603336442
1240 sec,25.2696486417166
1260 sec,25.4942870553794
1280 sec,23.5168789774841
1300 sec,23.979735614317
1320 sec,24.5530049892555
1340 sec,25.1096585913276
1360 sec,26.1287364520283
1380 sec,24.7100369592
1400 sec,26.2615507181411
1420 sec,25.4754248117073
1440 sec,26.1741167514937
