Time,Wind Direction
0 sec,-0.2
5 sec,-0.2
15 sec,2.7
25 sec,0.3
35 sec,0.3
40 sec,1.4
50 sec,-0
55 sec,1
55 sec,1.7
60 sec,0.2
60 sec,2
70 sec,1.7
75 sec,0.9
75 sec,-1.3
90 sec,-0.7
105 sec,-1.9
120 sec,0.2
130 sec,-1.5
145 sec,-0.8
160 sec,-0.8
165 sec,1.3
175 sec,-0.1
200 sec,0.9
225 sec,-1.3
235 sec,0.9
270 sec,-1
300 sec,-0.1
325 sec,-1.3
345 sec,0.7
360 sec,-1.3
400 sec,0.2
420 sec,-1.3
450 sec,0.7
465 sec,-2
480 sec,-0.9
480 sec,-2
510 sec,-0.7
510 sec,0.4
520 sec,-0.7
535 sec,0.1
535 sec,-1.3
560 sec,-0.3
560 sec,2.4
585 sec,1.3
585 sec,-0.1
605 sec,1.4
605 sec,-1.2
615 sec,0.1
630 sec,0.1
630 sec,-1.3
640 sec,-2.7
640 sec,-1.3
650 sec,-0.5
660 sec,0.7
660 sec,-0.3
685 sec,-2.5
685 sec,-0.5
710 sec,-0.6
710 sec,-1.6
730 sec,-0.2
745 sec,-0.3
745 sec,-1.4
765 sec,-2.9
765 sec,-1.8
780 sec,-0.1
780 sec,-1.6
790 sec,-3.4
790 sec,-2.9
810 sec,-1.6
810 sec,-0.6
830 sec,-1
830 sec,-1.6
860 sec,-2.7
860 sec,-0.8
870 sec,-2.1
870 sec,0.9
900 sec,-1.8
900 sec,-0.7
935 sec,-1.8
935 sec,1.3
955 sec,-0.4
955 sec,-1.7
985 sec,-0.4
985 sec,1
1005 sec,-1.2
1035 sec,-0.5
1060 sec,-1.4
1090 sec,0.3
1090 sec,1.5
1135 sec,-1.9
1135 sec,-1.5
1150 sec,-1.8
1150 sec,-0.9
1200 sec,-0.5
1200 sec,-1.7
1235 sec,-2
1235 sec,0.1
1270 sec,0.3
1295 sec,-1.6
1315 sec,0.5
1315 sec,-0.9
1338 sec,-1
1338 sec,0.2
1376 sec,0
1376 sec,-0.8
1402 sec,-0.8
1440 sec,-2.1
